ad,42.50,1.50
ae,24.00,54.00
af,33.00,65.00
ag,17.05,-61.80
ai,18.22,-63.05
al,41.00,20.00
am,40.00,45.00
an,12.17,-69.00
ao,-12.50,18.50
aq,-77.85,166.67
ar,-34.00,-64.00
as,-14.32,-170.50
at,47.33,13.33
au,-25.00,135.00
aw,12.50,-69.97
ax,60.12,19.90
az,40.50,47.50
ba,44.25,17.83
bb,13.17,-59.53
bd,24.00,90.00
be,50.83,4.00
bf,13.00,-2.00
bg,43.00,25.00
bh,26.00,50.50
bi,-3.50,30.00
bj,9.50,2.25
bl,17.896,-62.828
bm,32.33,-64.75
bn,4.50,114.67
bo,-17.00,-65.00
br,-10.00,-55.00
bs,24.00,-76.00
bt,27.50,90.50
bv,-54.43,3.40
bw,-22.00,24.00
by,53.00,28.00
bz,17.25,-88.75
ca,60.00,-96.00
cc,-12.17,96.83
cd,-3.52,23.42
cf,7.00,21.00
cg,-1.00,15.00
ch,47.00,8.00
ci,8.00,-5.00
ck,-20.00,-158.00
cl,-30.00,-71.00
cm,6.00,12.00
cn,35.00,105.00
co,4.00,-72.00
cr,10.00,-84.00
cu,21.50,-80.00
cv,16.00,-24.00
cx,-10.50,105.67
cy,35.00,33.00
cz,49.75,15.00
de,51.50,10.50
dj,11.50,42.50
dk,56.00,10.00
dm,15.50,-61.33
do,19.00,-70.67
dz,28.00,3.00
ec,-2.00,-77.50
ee,59.00,26.00
eg,27.00,30.00
eh,23.00,-14.00
er,15.00,39.00
es,40.00,-4.00
et,8.00,39.00
fi,64.00,26.00
fj,-18.00,178.00
fk,-51.75,-59.00
fm,5.00,152.00
fo,62.00,-7.00
fr,46.00,2.00
ga,-1.00,11.75
gb,54.00,-4.50
gd,12.12,-61.67
ge,42.00,43.50
gf,4.00,-53.00
gg,49.45,-2.55
gh,8.00,-2.00
gi,36.13,-5.35
gl,72.00,-40.00
gm,13.50,-15.50
gn,11.00,-10.00
gp,16.25,-61.58
gq,2.00,10.00
gr,39.00,22.00
gs,-54.50,-37.00
gt,15.50,-90.25
gu,13.47,144.83
gw,12.00,-15.00
gy,5.00,-59.00
hk,22.25,114.17
hm,-53.10,73.52
hn,15.00,-86.50
hr,45.17,15.50
ht,19.00,-72.42
hu,47.00,20.00
id,-5.00,120.00
ie,53.00,-8.00
il,31.50,34.75
im,54.23,-4.55
in,20.00,77.00
io,-6.00,71.50
iq,33.00,44.00
ir,32.00,53.00
is,65.00,-18.00
it,42.83,12.83
je,49.19,-2.11
jm,18.25,-77.50
jo,31.00,36.00
jp,36.00,138.00
ke,1.00,38.00
kg,41.00,75.00
kh,13.00,105.00
ki,-5.00,-170.00
km,-12.17,44.25
kn,17.33,-62.75
kp,40.00,127.00
kr,37.00,127.50
kw,29.50,47.75
ky,19.50,-80.67
kz,48.00,68.00
la,18.00,105.00
lb,33.83,35.83
lc,13.88,-60.97
li,47.17,9.53
lk,7.00,81.00
lr,6.50,-9.50
ls,-29.50,28.25
lt,56.00,24.00
lu,49.75,6.17
lv,57.00,25.00
ly,25.00,17.00
ma,32.00,-5.00
mc,43.73,7.42
md,47.00,29.00
me,42.80,19.20
mf,18.08,-63.05
mg,-20.00,47.00
mh,11.00,168.00
mk,41.83,22.00
ml,17.00,-4.00
mm,22.00,98.00
mn,46.00,105.00
mo,22.00,113.00
mp,15.12,145.67
mq,14.67,-61.00
mr,20.00,-12.00
ms,16.75,-62.20
mt,35.92,14.42
mu,-20.30,57.58
mv,3.20,73.00
mw,-13.50,34.00
mx,23.00,-102.00
my,2.50,112.50
mz,-18.25,35.00
na,-22.00,17.00
nc,-21.50,165.50
ne,16.00,8.00
nf,-29.08,167.92
ng,10.00,8.00
ni,13.00,-85.00
nl,52.50,5.75
no,62.00,10.00
np,28.00,84.00
nr,-0.53,166.92
nu,-19.03,-169.87
nz,-42.00,174.00
om,21.00,57.00
pa,9.00,-80.00
pe,-10.00,-76.00
pf,-15.00,-140.00
pg,-6.00,147.00
ph,13.00,122.00
pk,30.00,70.00
pl,52.00,20.00
pm,46.83,-56.33
pn,-25.07,-130.08
pr,18.23,-66.55
ps,32.0000,35.2500
pt,39.50,-8.00
pw,6.00,134.00
py,-23.00,-58.00
qa,25.50,51.25
re,-21.10,55.60
ro,46.00,25.00
rs,43.80,21.00
ru,60.00,47.00
rw,-2.00,30.00
sa,25.00,45.00
sb,-8.00,159.00
sc,-4.58,55.67
sd,15.00,30.00
se,62.00,15.00
sg,1.37,103.80
sh,-15.95,-5.70
si,46.25,15.17
sj,78.00,20.00
sk,48.67,19.50
sl,8.50,-11.50
sm,43.93,12.42
sn,14.00,-14.00
so,6.00,48.00
sr,4.00,-56.00
st,1.00,7.00
sv,13.83,-88.92
sy,35.00,38.00
sz,-26.50,31.50
tc,21.73,-71.58
td,15.00,19.00
tf,-43.00,67.00
tg,8.00,1.17
th,15.00,100.00
tj,39.00,71.00
tk,-9.00,-171.75
tl,-8.93,125.79
tm,40.00,60.00
tn,34.00,9.00
to,-20.00,-175.00
tr,39.00,35.00
tt,11.00,-61.00
tv,-8.00,178.00
tw,23.50,121.00
tz,-6.00,35.00
ua,49.00,32.00
ug,2.00,33.00
um,10.00,-175.00
us,38.00,-98.00
uy,-33.00,-56.00
uz,41.00,64.00
va,41.90,12.45
vc,13.08,-61.20
ve,8.00,-66.00
vg,18.50,-64.50
vi,18.50,-64.43
vn,16.00,106.00
vu,-16.00,167.00
wf,-14.00,-177.00
ws,-13.58,-172.33
ye,15.50,47.50
yt,-12.83,45.17
za,-30.00,26.00
zm,-15.00,30.00
zw,-19.00,29.00
